?cls,?mondo_label,?definition,?gene,?gene_label
<http://purl.obolibrary.org/obo/MONDO_0011439>,spinocerebellar ataxia type 12,Spinocerebellar ataxia type 12 (SCA12) is a very rare subtype of type I autosomal dominant cerebellar ataxia (ADCA type I). It is characterized by the presence of action tremor associated with relatively mild cerebellar ataxia. Associated pyramidal and extrapyramidal signs and dementia have been reported.,<http://identifiers.org/hgnc/9305>,PPP2R2B
<http://purl.obolibrary.org/obo/MONDO_0007363>,congenital contractural arachnodactyly,"Congenital contractural arachnodactyly (CCA, Beals syndrome) is a connective tissue disorder characterized by multiple flexion contractures, arachnodactyly, severe kyphoscoliosis, abnormal pinnae and muscular hypoplasia.",<http://identifiers.org/hgnc/3604>,FBN2
<http://purl.obolibrary.org/obo/MONDO_0009673>,"spinal muscular atrophy, type II",Proximal spinal muscular atrophy type 2 (SMA2) is a chronic infantile form of proximal spinal muscular atrophy characterized by muscle weakness and hypotonia resulting from the degeneration and loss of the lower motor neurons in the spinal cord and the brain stem nuclei.,<http://identifiers.org/hgnc/11117>,SMN1
<http://purl.obolibrary.org/obo/MONDO_0009123>,orthostatic hypotension 1,A very rare primary monoamine neurotransmitter synthesis disorder with norepinephrine and adrenaline deficiency that leads to young-onset severe orthostatic hypotension and eyelid ptosis.,<http://identifiers.org/hgnc/2689>,DBH
<http://purl.obolibrary.org/obo/MONDO_0800035>,MELAS syndrome caused by mutation in MTTK,Any MELAS syndromein which the cause of the disease is a mutation in the MTTK gene.,<http://identifiers.org/hgnc/7489>,MT-TK
<http://purl.obolibrary.org/obo/MONDO_0012912>,pseudopseudohypoparathyroidism,"A disease characterized by a constellation of clinical features collectively termed Albright hereditary osteodystrophy (AHO) but no evidence of resistance to parathyroid hormone (PTH), which is seen in other forms of pseudohypoparathyroidism (PHP).",<http://identifiers.org/hgnc/4392>,GNAS
<http://purl.obolibrary.org/obo/MONDO_0014369>,postaxial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome,"Postaxial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome is a rare, genetic developmental defect during embryogenesis characterized primarily by congenital hypopituitarism and/or postaxial polydactyly. It can be associated with short stature, delayed bone age, hypogonadotropic hypogonadism, and/or midline facial defects (e.g. hypotelorism, mild midface hypoplasia, flat nasal bridge, and cleft lip and/or palate). Hypoplastic anterior pituitary and ectopic posterior pituitary lobe are frequent findings on MRI examination.",<http://identifiers.org/hgnc/4318>,GLI2
<http://purl.obolibrary.org/obo/MONDO_0010543>,Barth syndrome,"Barth syndrome (BTHS) is an inborn error of phospholipid metabolism characterized by dilated cardiomyopathy (DCM), skeletal myopathy, neutropenia, growth delay and organic aciduria.",<http://identifiers.org/hgnc/11577>,TAFAZZIN
<http://purl.obolibrary.org/obo/MONDO_0011025>,Cayman type cerebellar ataxia,"Cerebellar ataxia, Cayman type is characterized by psychomotor retardation, hypotonia and cerebellar dysfunction (nystagmus, ataxic gait, truncal ataxia, dysarthric speech and intention tremor), associated with cerebellar hypoplasia.",<http://identifiers.org/hgnc/779>,ATCAY
<http://purl.obolibrary.org/obo/MONDO_0013767>,autoimmune lymphoproliferative syndrome type 4,"RAS-associated autoimmune leukoproliferative disease (RALD) is a rare genetic disorder characterized by monocytosis, autoimmune cytopenias, lymphoproliferation, hepatosplenomegaly, and hypergammaglobulinemia.",<http://identifiers.org/hgnc/7989>,NRAS
